"zip","population","city","county","state"
"90011",106042,"Los Angeles","Los Angeles County","California"
"90650",101983,"Norwalk","Los Angeles County","California"
"94565",100826,"Pittsburg","Contra Costa County","California"
"92336",100571,"Fontana","San Bernardino County","California"
"91331",99804,"Pacoima","Los Angeles County","California"
"90044",98990,"Los Angeles","Los Angeles County","California"
"92335",96704,"Fontana","San Bernardino County","California"
"90805",96515,"Long Beach","Los Angeles County","California"
"90250",96200,"Hawthorne","Los Angeles County","California"
"90201",95134,"Bell Gardens","Los Angeles County","California"
"91342",92580,"Sylmar","Los Angeles County","California"
"90280",92262,"South Gate","Los Angeles County","California"
"92683",90630,"Westminster","Orange County","California"
"93307",89651,"Bakersfield","Kern County","California"
"92503",88617,"Riverside","Riverside County","California"
"91911",87799,"Chula Vista","San Diego County","California"
"92345",87476,"Hesperia","San Bernardino County","California"
"93722",86387,"Fresno","Fresno County","California"
"92376",85727,"Rialto","San Bernardino County","California"
"92804",84700,"Anaheim","Orange County","California"
"92154",83758,"San Diego","San Diego County","California"
"95076",83716,"Watsonville","Santa Cruz County","California"
"95823",82983,"Sacramento","Sacramento County","California"
"93033",82517,"Oxnard","Ventura County","California"
"93727",82176,"Fresno","Fresno County","California"
"92592",81636,"Temecula","Riverside County","California"
"93550",81501,"Palmdale","Los Angeles County","California"
"91710",81466,"Chino","San Bernardino County","California"
"93535",80905,"Lancaster","Los Angeles County","California"
"94112",80880,"San Francisco","San Francisco County","California"
"92704",80767,"Santa Ana","Orange County","California"
"92509",80325,"Jurupa Valley","Riverside County","California"
"95035",79393,"Milpitas","Santa Clara County","California"
"91744",79380,"La Puente","Los Angeles County","California"
"93257",79217,"Porterville","Tulare County","California"
"93274",78831,"Tulare","Tulare County","California"
"90706",78352,"Bellflower","Los Angeles County","California"
"91709",78341,"Chino Hills","San Bernardino County","California"
"92563",78139,"Murrieta","Riverside County","California"
"94533",78129,"Fairfield","Solano County","California"
"92126",78111,"San Diego","San Diego County","California"
"94544",77712,"Hayward","Alameda County","California"
"91335",77158,"Reseda","Los Angeles County","California"
"95630",76599,"Folsom","Sacramento County","California"
"91910",76313,"Chula Vista","San Diego County","California"
"95747",75681,"Roseville","Placer County","California"
"90003",75024,"Los Angeles","Los Angeles County","California"
"93306",74769,"Bakersfield","Kern County","California"
"92880",74645,"Eastvale","Riverside County","California"
"92553",73945,"Moreno Valley","Riverside County","California"
"92805",73310,"Anaheim","Orange County","California"
"92105",72688,"San Diego","San Diego County","California"
"91706",72495,"Baldwin Park","Los Angeles County","California"
"93536",72131,"Lancaster","Los Angeles County","California"
"93065",72086,"Simi Valley","Ventura County","California"
"90255",71654,"Huntington Park","Los Angeles County","California"
"94536",71445,"Fremont","Alameda County","California"
"94568",71068,"Dublin","Alameda County","California"
"91730",71040,"Rancho Cucamonga","San Bernardino County","California"
"95123",70952,"San Jose","Santa Clara County","California"
"94509",70889,"Antioch","Contra Costa County","California"
"94110",69679,"San Francisco","San Francisco County","California"
"92021",69638,"El Cajon","San Diego County","California"
"91766",69517,"Pomona","Los Angeles County","California"
"94587",69502,"Union City","Alameda County","California"
"92882",69472,"Corona","Riverside County","California"
"90037",69064,"Los Angeles","Los Angeles County","California"
"90631",69064,"La Habra","Orange County","California"
"95687",68996,"Vacaville","Solano County","California"
"93230",68572,"Hanford","Kings County","California"
"95020",68365,"Gilroy","Santa Clara County","California"
"95206",68031,"Stockton","San Joaquin County","California"
"91402",67937,"Panorama City","Los Angeles County","California"
"95624",67915,"Elk Grove","Sacramento County","California"
"94513",67580,"Brentwood","Contra Costa County","California"
"94541",67401,"Hayward","Alameda County","California"
"92407",67207,"San Bernardino","San Bernardino County","California"
"93906",66883,"Salinas","Monterey County","California"
"92114",66487,"San Diego","San Diego County","California"
"94080",66262,"South San Francisco","San Mateo County","California"
"92630",66240,"Lake Forest","Orange County","California"
"94538",66215,"Fremont","Alameda County","California"
"95758",66153,"Elk Grove","Sacramento County","California"
"90262",66073,"Lynwood","Los Angeles County","California"
"91977",65497,"Spring Valley","San Diego County","California"
"94015",65125,"Daly City","San Mateo County","California"
"94558",65084,"Napa","Napa County","California"
"90026",64769,"Los Angeles","Los Angeles County","California"
"92201",64325,"Indio","Riverside County","California"
"92677",64259,"Laguna Niguel","Orange County","California"
"92562",64155,"Murrieta","Riverside County","California"
"90022",64147,"Los Angeles","Los Angeles County","California"
"92404",64090,"San Bernardino","San Bernardino County","California"
"92801",64022,"Anaheim","Orange County","California"
"94806",63730,"San Pablo","Contra Costa County","California"
"95608",63715,"Carmichael","Sacramento County","California"
"90731",63431,"San Pedro","Los Angeles County","California"
"94501",63340,"Alameda","Alameda County","California"
"91343",63193,"North Hills","Los Angeles County","California"
"93905",63121,"Salinas","Monterey County","California"
"91762",62990,"Ontario","San Bernardino County","California"
"93309",62828,"Bakersfield","Kern County","California"
"90640",62294,"Montebello","Los Angeles County","California"
"95127",62269,"San Jose","Santa Clara County","California"
"91702",62196,"Azusa","Los Angeles County","California"
"92627",62181,"Costa Mesa","Orange County","California"
"92392",61859,"Victorville","San Bernardino County","California"
"91761",61837,"Ontario","San Bernardino County","California"
"92223",61686,"Beaumont","Riverside County","California"
"92703",61593,"Santa Ana","Orange County","California"
"90660",61561,"Pico Rivera","Los Angeles County","California"
"92115",61456,"San Diego","San Diego County","California"
"93291",61439,"Visalia","Tulare County","California"
"95014",61414,"Cupertino","Santa Clara County","California"
"92620",61110,"Irvine","Orange County","California"
"92507",60949,"Riverside","Riverside County","California"
"95828",60850,"Sacramento","Sacramento County","California"
"95051",60499,"Santa Clara","Santa Clara County","California"
"95355",60338,"Modesto","Stanislaus County","California"
"92647",60114,"Huntington Beach","Orange County","California"
"92346",60025,"Highland","San Bernardino County","California"
"93313",59924,"Bakersfield","Kern County","California"
"92571",59896,"Perris","Riverside County","California"
"92071",59795,"Santee","San Diego County","California"
"93458",59789,"Santa Maria","Santa Barbara County","California"
"92020",59775,"El Cajon","San Diego County","California"
"95111",59761,"San Jose","Santa Clara County","California"
"92707",59712,"Santa Ana","Orange County","California"
"93312",59616,"Bakersfield","Kern County","California"
"94122",59453,"San Francisco","San Francisco County","California"
"95670",59449,"Rancho Cordova","Sacramento County","California"
"90019",59410,"Los Angeles","Los Angeles County","California"
"91770",59410,"Rosemead","Los Angeles County","California"
"92618",59386,"Irvine","Orange County","California"
"90042",59151,"Los Angeles","Los Angeles County","California"
"94591",59026,"Vallejo","Solano County","California"
"94087",58913,"Sunnyvale","Santa Clara County","California"
"91732",58888,"El Monte","Los Angeles County","California"
"90004",58833,"Los Angeles","Los Angeles County","California"
"95112",58775,"San Jose","Santa Clara County","California"
"90745",58735,"Carson","Los Angeles County","California"
"93030",58511,"Oxnard","Ventura County","California"
"92570",58275,"Perris","Riverside County","California"
"92530",58249,"Lake Elsinore","Riverside County","California"
"92057",58022,"Oceanside","San Diego County","California"
"91950",57844,"National City","San Diego County","California"
"90001",57652,"Los Angeles","Los Angeles County","California"
"92504",57636,"Riverside","Riverside County","California"
"92324",57593,"Colton","San Bernardino County","California"
"95023",57367,"Hollister","San Benito County","California"
"92130",57363,"San Diego","San Diego County","California"
"93063",57075,"Simi Valley","Ventura County","California"
"92708",56754,"Fountain Valley","Orange County","California"
"90006",56628,"Los Angeles","Los Angeles County","California"
"94109",56333,"San Francisco","San Francisco County","California"
"91913",56102,"Chula Vista","San Diego County","California"
"92646",56033,"Huntington Beach","Orange County","California"
"91786",56025,"Upland","San Bernardino County","California"
"92027",55750,"Escondido","San Diego County","California"
"93436",55591,"Lompoc","Santa Barbara County","California"
"91745",55489,"Hacienda Heights","Los Angeles County","California"
"91405",55451,"Van Nuys","Los Angeles County","California"
"95350",55368,"Modesto","Stanislaus County","California"
"95648",55350,"Lincoln","Placer County","California"
"91764",55311,"Ontario","San Bernardino County","California"
"92399",55236,"Yucaipa","San Bernardino County","California"
"93308",55150,"Bakersfield","Kern County","California"
"90034",55061,"Los Angeles","Los Angeles County","California"
"95376",55038,"Tracy","San Joaquin County","California"
"92780",54945,"Tustin","Orange County","California"
"92557",54936,"Moreno Valley","Riverside County","California"
"92584",54663,"Menifee","Riverside County","California"
"92117",54499,"San Diego","San Diego County","California"
"93551",54478,"Palmdale","Los Angeles County","California"
"91304",54369,"Canoga Park","Los Angeles County","California"
"90744",54277,"Wilmington","Los Angeles County","California"
"92056",54190,"Oceanside","San Diego County","California"
"90066",54142,"Los Angeles","Los Angeles County","California"
"93277",54127,"Visalia","Tulare County","California"
"91344",53862,"Granada Hills","Los Angeles County","California"
"92840",53826,"Garden Grove","Orange County","California"
"90813",53647,"Long Beach","Los Angeles County","California"
"94539",53464,"Fremont","Alameda County","California"
"93117",53345,"Goleta","Santa Barbara County","California"
"93215",53334,"Delano","Kern County","California"
"95125",53333,"San Jose","Santa Clara County","California"
"91801",53320,"Alhambra","Los Angeles County","California"
"90723",53286,"Paramount","Los Angeles County","California"
"93003",53283,"Ventura","Ventura County","California"
"91406",53276,"Van Nuys","Los Angeles County","California"
"95757",53232,"Elk Grove","Sacramento County","California"
"92870",53150,"Placentia","Orange County","California"
"92656",53143,"Aliso Viejo","Orange County","California"
"90002",53108,"Los Angeles","Los Angeles County","California"
"92026",53053,"Escondido","San Diego County","California"
"92078",53019,"San Marcos","San Diego County","California"
"95207",52877,"Stockton","San Joaquin County","California"
"92833",52799,"Fullerton","Orange County","California"
"92505",52696,"Riverside","Riverside County","California"
"95122",52555,"San Jose","Santa Clara County","California"
"92129",52495,"San Diego","San Diego County","California"
"90047",52200,"Los Angeles","Los Angeles County","California"
"90221",52119,"Compton","Los Angeles County","California"
"94601",52102,"Oakland","Alameda County","California"
"95616",52090,"Davis","Yolo County","California"
"90063",52008,"Los Angeles","Los Angeles County","California"
"92234",51964,"Cathedral City","Riverside County","California"
"95037",51867,"Morgan Hill","Santa Clara County","California"
"95124",51803,"San Jose","Santa Clara County","California"
"93638",51724,"Madera","Madera County","California"
"91605",51654,"North Hollywood","Los Angeles County","California"
"92544",51567,"Hemet","Riverside County","California"
"92028",51135,"Fallbrook","San Diego County","California"
"92127",51107,"San Diego","San Diego County","California"
"92113",50983,"San Diego","San Diego County","California"
"93619",50848,"Clovis","Fresno County","California"
"91767",50715,"Pomona","Los Angeles County","California"
"93311",50535,"Bakersfield","Kern County","California"
"92886",50437,"Yorba Linda","Orange County","California"
"95116",50436,"San Jose","Santa Clara County","California"
"90024",50392,"Los Angeles","Los Angeles County","California"
"92025",50270,"Escondido","San Diego County","California"
"95240",50245,"Lodi","San Joaquin County","California"
"92024",50222,"Encinitas","San Diego County","California"
"92626",50198,"Costa Mesa","Orange County","California"
"90630",50170,"Cypress","Orange County","California"
"93304",50158,"Bakersfield","Kern County","California"
"92084",49971,"Vista","San Diego County","California"
"90018",49898,"Los Angeles","Los Angeles County","California"
"94550",49463,"Livermore","Alameda County","California"
"92701",49462,"Santa Ana","Orange County","California"
"91306",49460,"Winnetka","Los Angeles County","California"
"90703",49334,"Cerritos","Los Angeles County","California"
"92128",49273,"San Diego","San Diego County","California"
"94086",49217,"Sunnyvale","Santa Clara County","California"
"92243",49193,"El Centro","Imperial County","California"
"95336",49145,"Manteca","San Joaquin County","California"
"92879",49111,"Corona","Riverside County","California"
"90220",49101,"Compton","Los Angeles County","California"
"94553",49062,"Martinez","Contra Costa County","California"
"92064",48783,"Poway","San Diego County","California"
"95008",48746,"Campbell","Santa Clara County","California"
"93720",48597,"Fresno","Fresno County","California"
"92395",48479,"Victorville","San Bernardino County","California"
"92410",48398,"San Bernardino","San Bernardino County","California"
"92058",48272,"Oceanside","San Diego County","California"
"90046",48170,"Los Angeles","Los Angeles County","California"
"95351",48134,"Modesto","Stanislaus County","California"
"92691",48073,"Mission Viejo","Orange County","California"
"94303",47989,"Palo Alto","Santa Clara County","California"
"95307",47978,"Ceres","Stanislaus County","California"
"94577",47937,"San Leandro","Alameda County","California"
"92111",47710,"San Diego","San Diego County","California"
"93635",47683,"Los Banos","Merced County","California"
"90247",47682,"Gardena","Los Angeles County","California"
"93010",47656,"Camarillo","Ventura County","California"
"90033",47655,"Los Angeles","Los Angeles County","California"
"92843",47549,"Garden Grove","Orange County","California"
"94560",47470,"Newark","Alameda County","California"
"94582",47338,"San Ramon","Contra Costa County","California"
"90016",47309,"Los Angeles","Los Angeles County","California"
"95136",47294,"San Jose","Santa Clara County","California"
"95843",47195,"Antelope","Sacramento County","California"
"90057",47142,"Los Angeles","Los Angeles County","California"
"90620",47042,"Buena Park","Orange County","California"
"93036",46959,"Oxnard","Ventura County","California"
"92705",46854,"Santa Ana","Orange County","California"
"91387",46812,"Canyon Country","Los Angeles County","California"
"95209",46756,"Stockton","San Joaquin County","California"
"92069",46648,"San Marcos","San Diego County","California"
"93611",46620,"Clovis","Fresno County","California"
"92104",46613,"San Diego","San Diego County","California"
"95060",46527,"Santa Cruz","Santa Cruz County","California"
"95822",46413,"Sacramento","Sacramento County","California"
"92009",46334,"Carlsbad","San Diego County","California"
"94014",46331,"Daly City","San Mateo County","California"
"94928",46231,"Rohnert Park","Sonoma County","California"
"95610",46219,"Citrus Heights","Sacramento County","California"
"90638",46170,"La Mirada","Los Angeles County","California"
"92101",46025,"San Diego","San Diego County","California"
"92122",45988,"San Diego","San Diego County","California"
"92692",45977,"Mission Viejo","Orange County","California"
"92019",45937,"El Cajon","San Diego County","California"
"92040",45906,"Lakeside","San Diego County","California"
"95762",45842,"El Dorado Hills","El Dorado County","California"
"90027",45764,"Los Angeles","Los Angeles County","California"
"94546",45761,"Castro Valley","Alameda County","California"
"93446",45720,"Paso Robles","San Luis Obispo County","California"
"95148",45688,"San Jose","Santa Clara County","California"
"92648",45667,"Huntington Beach","Orange County","California"
"91352",45601,"Sun Valley","Los Angeles County","California"
"90241",45341,"Downey","Los Angeles County","California"
"91765",45303,"Diamond Bar","Los Angeles County","California"
"93702",45248,"Fresno","Fresno County","California"
"92545",45219,"Hemet","Riverside County","California"
"95678",45210,"Roseville","Placer County","California"
"94566",45145,"Pleasanton","Alameda County","California"
"92374",44976,"Redlands","San Bernardino County","California"
"92555",44923,"Moreno Valley","Riverside County","California"
"90065",44897,"Los Angeles","Los Angeles County","California"
"90032",44881,"Los Angeles","Los Angeles County","California"
"91367",44862,"Woodland Hills","Los Angeles County","California"
"91790",44855,"West Covina","Los Angeles County","California"
"93726",44790,"Fresno","Fresno County","California"
"93292",44759,"Visalia","Tulare County","California"
"95403",44677,"Santa Rosa","Sonoma County","California"
"90023",44558,"Los Angeles","Los Angeles County","California"
"94561",44546,"Oakley","Contra Costa County","California"
"94605",44477,"Oakland","Alameda County","California"
"90043",44461,"Los Angeles","Los Angeles County","California"
"95831",44450,"Sacramento","Sacramento County","California"
"92688",44444,"Rancho Santa Margarita","Orange County","California"
"90025",44429,"Los Angeles","Los Angeles County","California"
"94804",44387,"Richmond","Contra Costa County","California"
"92506",44344,"Riverside","Riverside County","California"
"92802",44316,"Anaheim","Orange County","California"
"90503",44280,"Torrance","Los Angeles County","California"
"95628",44256,"Fair Oaks","Sacramento County","California"
"92867",44216,"Orange","Orange County","California"
"95380",44204,"Turlock","Stanislaus County","California"
