industry,business name,address,external link,phone number,additional_info,emails,business hours,bullets-container,teaser
Construction,Javis Construction,"937 S Anson Rd Stanfordville, NY 12581",,(845) 803-6500,"Stone Buildings, Construction Companies, Install Water Heater, Construction & Remodeling, Landscape Lighting, Hydroseeding, Gas Furnaces, Pond Construction, Excavating Contractors, Septic System Repair, Culverts, Sprinklers, Stone Contractors, HVAC Contractors, Water Heater Repair, Heating & Air Conditioning, General Contractors, Heating Contractors, Construction Consultants, Radiant Heating, Construction Management, Concrete Contractors, Water Heaters, Home Builders, Plumbing Contractors, Deck Builders, Masonry, Septic Tanks",[],,,
Construction,Angelakis Construction,"117 80th St Brooklyn, NY 11209",,(718) 833-3000,"General Contractors, Construction Companies, Construction Consultants",[],,,
,,,,,"Construction & Remodeling, Construction Companies, Home Builders, General Contractors, Construction Consultants, Architects",[],,,
Construction,Israel Construction,"149 Irving Ave Brooklyn, NY 11237",,(888) 843-0195,"Roofing Consultants, Roofing Contractors, Construction Companies, Construction Consultants",[],Business Hours: Daily 7am-7pm,,
Construction,Oakgrove Construction,"173 Dingens St Buffalo, NY 14206",,(716) 768-3000,"Construction Consultants, Construction Companies",[],,,
Construction,Commodore Construction,"158 W 27th St New York, NY 10001",,(212) 685-9121,"Architects, Government Contractors, Construction Consultants, General Contractors, Construction Companies",[],,,
Construction,Anywhere Construction,"14 Windham Loop Staten Island, NY 10314",,(718) 420-9111,"General Contractors, Construction Companies, Construction Consultants",[],,,
Construction,Eberhart Construction,"199 Jericho Tpke Floral Park, NY 11001",,(516) 328-0300,"Construction Companies, Construction Consultants",[],,,
Construction,Sth Construction,"89 Bleecker St New York, NY 10012",,(212) 677-5705,"Construction Consultants, Construction Companies",[],,,
Construction,PEC Construction,"372 W 4th St S Fulton, NY 13069",,(315) 402-6919,"Fixtures, Roofing Contractors, Kitchen Remodeling, Home Improvement Stores, Construction & Remodeling, Bathroom Remodeling, Construction Consultants, General Contractors, Construction Companies",[],Business Hours: Mon-Fri 8am-5pm,,
Construction,Dynamic Construction,"51 E 42nd St New York, NY 10017",,(212) 922-2939,"Construction Consultants, Construction Companies",[],,,
