industry,business name,address,external link,phone number,business hours,additional_info,emails,teaser
Construction,Bermea Construction,"1620 W 9th St Friona, TX 79035",,(806) 265-7627,Business Hours: Mon-Fri 8am-6pm,"Paving Contractors, Masonry, Excavating Contractors, Foundation Contractors, Insured, Bonded, Asphalt Paving Contractors, Construction Companies, Heavy Construction, Driveways, Home Remodeling Contractors, General Contractors, Check, Licensed, Residential Construction, Road Construction, Construction & Remodeling, Parking Lot",[],
Construction,Talbert Construction,"14104 China Spring Rd China Spring, TX 76633",,(254) 836-0715,Business Hours: Daily 8am-5pm,"Home & Garden, Home Remodeling Contractors, Roofing Contractors, Gutters & Downspouts, Roofing & Siding, Construction Management, Construction Companies, Heavy Construction, Water Damage Restoration, General Contractors",[],
Construction,Ser Construction,"150 W Parker Rd Houston, TX 77076",,(832) 409-5006,,"Construction Consultants, Construction Companies",[],
Construction,Varmon Construction,"6020 Jessamine St Houston, TX 77081",,(713) 218-7778,,"Construction Management, Construction Consultants",[],
Construction,Sunrise Construction,"PO Box 26903 Austin, TX 78755",,(512) 497-2547,"Business Hours: Mon 8:00 am - 5:00 pm, Tue - Fri 9:00 am - 5:00 pm","Construction Companies, General Contractors, Construction Consultants",[],
Construction,Brunson Construction,"3120 Halifax St Dallas, TX 75247",,(214) 637-2967,"Business Hours: Mon-Fri 6am-4pm, Sat 7am-4pm","Kitchen Remodeling, Wholesale Gates, Bathroom Remodeling, Home Repair & Service, Construction Companies, Fixtures, General Contractors, Real Estate Developers, Home Remodeling Contractors, Other Nonresidential Construction, Building Maintenance, Home Builders, Home Repair & Service, Residential Construction, Patio Builders, Construction & Remodeling, Construction Consultants, Home Improvement Stores",[],
Construction,Valli Construction,"8100 Highway 6 S Houston, TX 77083",,(713) 433-5009,,"Construction Consultants, Construction Management",[],
Construction,Polasek Construction,"101 W 1st St Ste A El Campo, TX 77437",,(979) 543-9708,,"Bathroom Remodeling, Home Repair & Service, Construction Companies, Construction & Remodeling, Culverts, Heavy Construction, Concrete Contractors, General Contractors, Concrete Contractors, Real Estate Developers, Home Repair & Service, Other Nonresidential Construction",[],
Construction,Tlc Construction,"1959 Saratoga Blvd Bldg 10 Corpus Christi, TX 78417",,(361) 851-6790,Business Hours: Mon-Fri 8am-5pm,"Painters, Home Repair & Service, Construction Consultants, Home Remodeling Contractors, General Contractors, Bathroom Remodeling, Construction Companies, Construction & Remodeling, Home Repair & Service",[],
Construction,CMC Construction,"9103 Almeda Rd Houston, TX 77054",,(800) 729-1150,,"Construction Consultants, Structural Steel Manufacturers, Construction Management, Wholesale Concrete Forms, Construction Equipment Manufacturers, Wholesale Concrete, Construction Companies, Concrete Products, Construction & Remodeling, Wholesale Concrete Equipment, Concrete Machinery Manufacturers, Wholesale Construction Equipment",[],
