business name,address,external link,phone number,industry,additional_info,emails,business hours,teaser
Pretech Construction,"7801 Mission Center Ct San Diego, CA 92108",,(619) 298-7101,Construction,"Construction Companies, Construction Consultants, Architects",[],,
Alc Construction,"5455 Wilshire Blvd Ste 908 Los Angeles, CA 90036",,(323) 937-9137,Construction,"Construction Consultants, Construction Companies, Residential Construction, Bathroom Remodeling, Kitchen Remodeling, General Contractors",[],Business Hours: Mon-Thu 8am-5pm,
Lira Construction,"33443 Western Ave Union City, CA 94587",,(510) 487-4399,Construction,"Home Remodeling Contractors, Construction Consultants, General Contractors, Construction Companies, Bathroom Remodeling, Home Improvement Stores, Construction & Remodeling, Kitchen Remodeling, Fixtures, Other Nonresidential Construction",[],Business Hours: By appointment,
Goral Construction,"11633 Sorrento Valley Rd San Diego, CA 92121",,(858) 720-9795,Construction,"Mastercard Accepted, Construction Management, Construction Consultants, Visa Accepted",[],,
Vanir Construction,"1000 Broadway # 136 Oakland, CA 94607",,(510) 663-1861,Construction,"Construction Management, Construction Consultants",[],,
Corporate Construction,"1048 Serpentine Ln Ste 311 Pleasanton, CA 94566",,(925) 931-0323,Construction,"Construction Management, Construction Consultants",[],,
Teichert Construction,"4401 Duluth Ave Roseville, CA 95678",,(916) 645-4800,Construction,"Construction Companies, Construction Consultants, Building Materials, Construction Management, Paving Contractors, Engineering",[],,
Wilson Construction,"8231 Alpine Ave Ste 6 Sacramento, CA 95826",,(916) 456-7171,Construction,"Construction Consultants, Construction Companies, Government Contractors, Modular Homes, Construction Management",[],,
DMG Construction,"5901 Beech Ave Orangevale, CA 95662",,(916) 505-4856,Construction,"Deck Builders, Water Damage Restoration, Door Repair, Cabinet Installation, Power Washing, Other Nonresidential Construction, Disability Remodeling, Construction & Remodeling, Floor Coverings, Residential Construction, Dry Wall Contractors, Wood Siding Installation, Gazebo Builders, Small Appliance Repair, Roofing & Siding, Painters, Home Repair & Service, Patio & Deck Cleaning & Restoration, Garage Builders, Door Hanging, Wood Siding Repair, Painting & Papering, Carport Construction, General Contractors, Handyman, Kitchen Remodeling, Skylight Installation, Home Remodeling Contractors, Storm Shelter Contractors, Construction Management, Bathroom Remodeling, Roof Cleaning, Window Replacement, Basement Remodeling, Construction Companies, Framing Contractors",[],Business Hours: Daily 7am-7pm,
Burtch Construction,"18815 Highway 65 Bakersfield, CA 93308",,(661) 399-1736,Construction,"Wholesale Dust Control Materials, Masonry, Road Oiling, Paving Contractors, Excavating Contractors, Road Construction, Culverts, Concrete Contractors, Asphalt Paving Contractors, Construction Companies",[],,
Hurley Construction,"2110 L St Sacramento, CA 95816",,(916) 442-1822,Construction,"Construction Consultants, Construction Management",[],,
Ca Construction,"934 S Andreasen Dr Escondido, CA 92029",,(760) 489-8144,Construction,"Construction Consultants, Construction & Remodeling, Construction Companies, Construction Management",[],,
Vargas Construction,"3232 Tyler Ave El Monte, CA 91731",,(626) 343-8110,Construction,"Wholesale Excavating Equipment, Elevator Inspection, Construction & Remodeling, Escalator Manufacturers, Construction Consultants, General Contractors, Construction Equipment Manufacturers, Bulldozing, Masonry, Electrical Contractors, Excavating Contractors, Other Nonresidential Construction, Construction Companies",[],Business Hours: Appointments Available,
Huffman Construction,"31301 Aguacate Rd San Juan Capistrano, CA 92675",,(949) 492-4689,Construction,"Construction Management, Construction Consultants",[],,
All's Construction,"681 E Brokaw Rd San Jose, CA 95112",,(408) 441-0967,Construction,"Construction Consultants, General Contractors, Construction Management, Construction Companies, Home Remodeling Contractors",[],,
Cannaday Construction,"3225 Sonoma Blvd Vallejo, CA 94590",,(707) 558-8492,Construction,"Other Nonresidential Construction, Fence Contractors, Carpenters, Sun Rooms, Visa Accepted, Deck Builders, Mantels, Countertops, Insulation Contractors, Carport Construction, Stair Builders, Stone Cutters, Construction Management, Foreclosure Property, Mastercard Accepted, Window Repair, Kitchen Remodeling, Basement Remodeling, Garage Builders, General Contractors, Door Hanging, Build Trellises, Ceilings, Cabinet Makers, Closet Design & Remodeling, Concrete Contractors, Rug Doctor, Masonry, Interior Cleaning, Framing Contractors, Contract Interior Designers, Interior Decoration & Design, Demolition Contractors, Siding Contractors, Home Remodeling Contractors, Stucco Contractors, Demolition Consulting, Sun Room Builders, Dry Wall Contractors, Garage Door Contractors, Waterproofing Contractors, Carpet & Rug Cleaners, Home Builders, Stucco Repair, Construction & Remodeling, Garage Door Repair, Discover Accepted, Building Designers, Tile Mantles, Commercial Construction, Fireplace Contractors",[],Business Hours: Monday: 8:00 AM - 6:00 PM; Tuesday: 8:00 AM - 6:00 PM; Wednesday: 8:00 AM - 6:00 PM; Thursday: 8:00 AM - 6:00 PM; Friday: 8:00 AM - 6:00 PM; Saturday: 8:00 AM - 4:00 PM; Sunday: Closed,
Pankow Construction,"2580 Cahuenga Blvd E Los Angeles, CA 90068",,(323) 871-4203,Construction,"Construction Consultants, Construction Companies",[],,
Marzullo Construction,"436 N 8th St # A Lompoc, CA 93436",,(805) 865-2382,Construction,"General Contractors, Home Repair & Service, Real Estate Developers, Home Improvement Stores, Bathroom Remodeling, Construction Consultants, Kitchen Remodeling, Construction Companies, Construction & Remodeling, Spa Resorts, Home Repair & Service, Home Builders",[],"Business Hours: Open 7 Days, Appointments Available, 24 Hour Emergency Service Available",
Tuiland Construction,"1021 Bay Blvd Chula Vista, CA 91911",,(619) 946-4134,Construction,"Construction Consultants, Construction Companies",[],,
Bashan Construction,"19725 Sherman Way Ste 150 Canoga Park, CA 91306",,(818) 998-8096,Construction,"Business Management Consultants, Construction Consultants, Cell Phone Service, Construction Management",[],,
True Construction,"9648 Niagara Ave Fontana, CA 92335",,(909) 357-2518,Construction,"Construction Companies, General Contractors, Construction Consultants",[],,
