industry,business name,address,external link,phone number,additional_info,emails,business hours,bullets-container
Construction,Roctree Construction,"54 Park Ave Rochester, NY 14607",,(585) 244-0430,"Business Management Consultants, Property Management, Construction Companies, Real Estate Consultants",[],,
Construction,Snyders Construction,"16661 County Route 155 Watertown, NY 13601",,(315) 408-3167,"General Contractors, Construction Companies",[],,
Construction,Bella Construction,"80 Barraud Dr Port Jefferson Station, NY 11776",,(631) 403-4935,"General Contractors, Construction Companies, Wholesale Construction Equipment",[],,
Construction,Stafford Construction,"1202 Hancock St Brooklyn, NY 11221",,(866) 909-1585,"Construction Companies, Handyman, Dry Wall Contractors",[],,
Construction,Palmari Construction,"28 Lewis Ave New Hyde Park, NY 11040",,(516) 437-4252,"Construction Companies, Construction & Remodeling, General Contractors",[],,
Construction,Latorre Construction,"427 Abeel St Kingston, NY 12401",,(845) 331-5795,"Construction Companies, General Contractors",[],,
Construction,Lendlease Construction,"3270 Broadway New York, NY 10027",,(212) 234-5990,"Construction Companies, General Contractors, Construction Management",[],,
Construction,Rjc Construction,"564 Starlight Dr Shirley, NY 11967",,(631) 924-1886,Construction Companies,[],,
Construction,Jt Construction,"3204 Wayne St Endicott, NY 13760",,(607) 625-5068,Construction Companies,[],Business Hours: Mon-Fri 8am-5pm,
Construction,Guazhambo's Construction,"1000 W Main St Riverhead, NY 11901",,(631) 680-5491,Construction Companies,[],,
Construction,Guion Construction,"2400 Roosevelt Hwy Hamlin, NY 14464",,(585) 964-3091,"General Contractors, Construction Companies",[],,
Construction,Daniels Construction,"41 Spring Close Hwy East Hampton, NY 11937",,(631) 324-0418,Construction Companies,[],,
Automotive,GEICO Insurance Agent,"677 Hillside Ave New Hyde Park, NY 11040",https://apis.elocal.com/tracker/track?q=031446bac17c9b18d09fda827e96e3ccdd077bc8d9bc77e899ec68bace8f91597bc12b363c68586530d89ca4727c010809214daf004a189ef961844d05ceca31c7983f46df42d46b3df665dc124a72fde8a109d354fc064712b20e0dc0b2ad12e21f6db0482823f70b0c0af06ca382129c4bfb97f256ea3d453cde85d1df03f7a28b80d35b1923ed0186c84d2f8940eede980624781dae027ffa1756f58e37f2c9485c54c60d496fadacd14f5d50a3c37a5acb1815e24a4867e170f8c068590499036d3079405d00ee783b15df98ad01e7cd6dad9210240bb1a47be4f2be6a3a3e257693968979cfeecae24af1da306eda079d2cf74d1ce9c273cc73172cbde0b59de25a02b4f795947817581a8f6c51b8462fc2bb0a2e10a8f90f69e890eb14e4d8e0d9093b8aaf1e5625e8ea36912ff43d45aa8efbe804ad01e9860e893dc5a97537f8d7e7cb57931238cebb02e6217f41d4f2ad063edc7906823ac36b9e9cca814cd3a155543a0f70867ed3d056653f26f4bc08ead24ae4209d3ec402a22c7c8c223ba5c532e918db1b37e9427d3d0d0105db6c41eb46dfc62a7dc3f51b93e725e0f1035c201390d0a430bfb6dd1d23385262e109e3023cf767e62fc5f30c918e11438bc01692869c4c050125ddc48ef4f20ae147b323ff66b33da374887d5c61fb3f279ef5fa759d0b8037b0d1b630045b20b65c505d10adfdf1cf2fc254a66ae42655ecaeeeef23f43797e332c690165f7977bbc4413c35fca13cf2c68473db07500c15660f6c323cf8eb056afdfe2e124346c2982a2bad2c2b7dffd786537e10180028347f5f29c27f46cd11748909476cf4c4d0f283d29bea5cf55bf9e10138f77fe8334c1eaf59256c6d43f1119cf005318b8e677183394b9d9d3e65da5b4477ca00b9bb1c3a659f3fab1d5f7f9dd6ac29b4331add34032ca443615d2d6781d8cf4c0cb089c0fc04fb6c5296f76d05248754e85213a923e6389c05b2ebc913acdbad95485012c8a6a66a7d9c480cae5b82c26643765e946c0e1b433680806c92862ff7b431b947d6c0bd2fb4,(516) 302-2130,"Did you know that GEICO has a local insurance office right here in New Hyde Park? With our Local Offices you will get the same great rates and discounts you expect from GEICO along with the personalized service you desire. Ryan McGowan and his experienced, professional staff are here to help save you money on car insurance. We offer Auto, Motorcycle, ATV, RV, Boat, PWC, Collectors Auto, Homeowners, Renters, Condo, Mobile Home, Flood, Personal Umbrella and SR-22 Insurance. Serving many of the insurance needs of customers all over New Hyde Park and the surrounding areas. Our GEICO Local Office is here to serve you. Please stop-in or call us for a free quote. How much could you save?","['overseas@geico.com', 'geicoitaly@clements.com', 'rymcgowan@geico.com', 'overseas@geicogmbh.com']","Business Hours: Monday - Friday: 9:00 AM - 7:00 PM, Saturday: 10:00AM - 6:00PM, Sunday: Closed","ATV, Boat & RV InsuranceCall now for a free insurance quote!Auto, home, motorcycle insurance & more"
