industry,business name,address,external link,phone number,additional_info,emails,business hours
Transportation,Us Transportation Dept,"1904 Pappas St Laredo, TX 78041",,(956) 722-3242,"Transportation Programs, Federal Offices",[],
Transportation,Star Fire Transportation,"2007 Muddy Peak Dr San Antonio, TX 78245",,(210) 673-5557,Transportation Services,[],
Transportation,Lafiton Transportation LLC,"6530 Autumn Sunset Ln Spring, TX 77379",,(832) 493-0774,"Government Contractors, Transportation Services",[],
Transportation,Panther II Transportation,"4410 Pan American Blvd Laredo, TX 78045",,(956) 791-0491,Transportation Services,[],
Transportation,Serenity Transportation Broker,"340 N Sam Houston Pkwy E Ste 160L Houston, TX 77060",,(832) 255-2255,Transportation Services,[],
Transportation,Ffe Transportation Svc,"3400 Stonewall St Lancaster, TX 75134",,(972) 228-9525,"Transportation Services, Refrigerated Trucking, Passenger Transportation",[],
Transportation,Csw Transportation LLC,"9330 Lyndon B Johnson Fwy Ste 100 Dallas, TX 75243",,(214) 561-6755,Transportation Services,[],
Transportation,Tesvino Transportation Svc,"1812 Commerce Dr Laredo, TX 78041",,(956) 218-8108,Transportation Services,[],
Transportation,Acacia Transportation Svc,"435 Murphy Rd Ste B1 Stafford, TX 77477",,(713) 828-9437,"Transportation Services, Courier Services, Passenger Transportation, Taxis & Shuttles, Government Contractors",[],
Transportation,Nat-Star Transportation,"8722 Croteau Dr Houston, TX 77044",,(281) 458-2007,"Transportation Services, General Government Offices, Trucking Companies, Transportation Programs",[],
Transportation,Bordertown Transportation INC,"12953 Montana Ave El Paso, TX 79938",,(915) 921-1511,"Transportation Services, Motor Freight Trucking",[],
Transportation,Dynasty Transportation Inc,"PO Box 8500 Waco, TX 76714",,(254) 662-9898,"Transportation Services, Limousine Service, Shuttles, Airport Transportation",[],
,,,,,"Government Organizations & Services, Transportation Programs",[],
Transportation,Munoz Transportation Inc,"1201 W County Road 130 Midland, TX 79706",,(432) 684-7013,Transportation Services,[],
Transportation,Ketlag Transportation Svc,"18307 Barkers Green Way Houston, TX 77084",,(832) 473-1913,Transportation Services,[],
Transportation,Global Transportation Svc,"1320 Henry Brennan Dr Ste H El Paso, TX 79936",,(915) 858-3800,"Customs Brokers, Transportation Services, Passenger Transportation",[],
Transportation,Timeless Ground Transportation,"12604 Haynes Rd Houston, TX 77066",,(281) 781-8159,Transportation Services,[],
Transportation,Tarrant Transportation Group,"3313 Park Ridge Blvd Fort Worth, TX 76109",,(817) 924-5829,Transportation Services,[],
Transportation,E & M Transportation,"832 Hallmark Dr Laredo, TX 78045",,(956) 523-0402,Transportation Services,[],
Transportation,Matney Transportation-Lgstcs,"4708 80th St Lubbock, TX 79424",,(806) 799-3464,Transportation Services,[],
Transportation,Blakeman Transportation Inc,"2350 Campbell Creek Blvd Ste 400 Richardson, TX 75082",,(817) 626-3400,Transportation Services,[],Business Hours: Mon-Fri 7am-5pm
Transportation,Transportation Dept Mntnc,"2011 US Highway 180 W Anson, TX 79501",,(325) 823-3246,"State Offices, Transportation Programs, Government Organizations & Services",[],
Transportation,Durango Tourist Transportation,"11311 Harry Hines Blvd Dallas, TX 75229",,(972) 243-6822,Transportation Services,[],
Transportation,Morco Transportation Inc,"11821 W 64th St Odessa, TX 79764",,(432) 385-0115,Transportation Services,[],
Transportation,Syble Transportation LLC,"12310 Unison Rd Houston, TX 77044",,(713) 724-0412,Transportation Services,[],
Transportation,Ride Aide Transportation,"2163 S WW White Rd San Antonio, TX 78222",,(210) 401-7433,Transportation Services,[],
Transportation,Us Transportation Dept,"501 W Liberty St Rockport, TX 78382",,(361) 729-2162,"Federal Offices, Transportation Programs",[],
Transportation,Lone Star Transportation,"2330 E Main St Grand Prairie, TX 75050",,(972) 264-6266,"Transportation Services, General Government Offices, Transportation Programs",[],
,,,,,Transportation Services,[],
Transportation,Logan Transportation Inc,"13100 W Highway 80 E Odessa, TX 79765",,(432) 561-5565,Transportation Services,[],
Transportation,Highway & Transportation Dept,"209 Layl Dr Liberty, TX 77575",,(936) 336-5669,"Government Organizations & Services, Transportation Programs",[],
Transportation,Alpha One Transportation,"24223 Red Deer Dr Huffman, TX 77336",,(281) 324-4712,Transportation Services,[],
Transportation,Bermudez Transportation SVC,"2557 W Hunter Ferrell Rd Grand Prairie, TX 75050",,(972) 642-1288,"Passenger Transportation, Transportation Services, Car Service, Transportation Programs, General Government Offices",[],
Transportation,Del Labra Transportation,"14316 Sellers Rd Trlr 50 Houston, TX 77060",,(832) 266-6457,Transportation Services,[],
