industry,business name,address,external link,phone number,additional_info,emails,business hours
Automotive,Everything Automotive,"407 S Home St Corrigan, TX 75939",,(936) 398-7740,Automotive Repair,[],
Automotive,Bobby's Automotive,"116 Ponderosa Rd Bastrop, TX 78602",,(512) 332-0269,Automotive Repair,[],
Automotive,Browder Automotive,"4900 W Marshall Ave Longview, TX 75604",,(903) 295-8888,"Visa Accepted, Discover Accepted, Mastercard Accepted, Automotive Repair, Truck Repair",[],"Business Hours: Mon-Fri 7:45am-5pm, Sat Closed, Sun Closed"
Automotive,Marlow Automotive,"1713 N Central Expy Plano, TX 75075",,(972) 633-1299,"Automotive Repair, Auto Parts & Accessories, Tires & Wheels, Transmission Repair, Tune Ups, Brake Repair, Clutch Repair, Auto Diagnostics, New Car Dealers, Oil Changes",[],Business Hours: Mon-Fri 7am-5pm
Automotive,Young's Automotive,"6117 Ridgemont St Houston, TX 77087",,(713) 645-2919,"Repair Shops, Toyo, Radiator Repair, Muffler Repair, Used Car Dealers, Oil Changes, Automotive Sales & Services, Automotive Repair, Tires, Heating & Air Conditioning, Auto Parts & Accessories, Continental, Tires & Wheels, Clutch Repair, Diesel Fuel, Brake Repair, Smog Testing, Computer Repair, Yokohama, Truck Repair, Tune Ups",[],"Business Hours: Mon-Fri 8:00 AM-6:00 PM,Sat-Sun Closed"
Automotive,Phoenix Automotive,"10111 N Lamar Blvd # B Austin, TX 78753",,(512) 973-9004,Automotive Repair,[],
Automotive,Avian Automotive,"16035 Cypress Farms Ranch Rd Cypress, TX 77429",,(281) 256-9635,Automotive Repair,[],
Automotive,Danny's Automotive,"2104 W Clarendon Dr Dallas, TX 75208",,(214) 942-1457,Automotive Repair,[],
Automotive,Bill's Automotive,"2615 Cessna Dr Midland, TX 79705",,(432) 682-1629,Automotive Repair,[],
Automotive,Fernando's Automotive,"4600 E Berry St Fort Worth, TX 76105",,(682) 499-5970,"Used Car Dealers, Automotive Repair",[],
Automotive,Nba Automotive,"200 N Collins St Arlington, TX 76011",,(682) 321-7022,Automotive Repair,[],
Automotive,Dozal Automotive,"1000 Horizon Blvd Socorro, TX 79927",,(915) 860-9830,Automotive Repair,[],
Automotive,Tony's Automotive,"1211 Port Neches Ave Port Neches, TX 77651",,(409) 729-5557,Automotive Repair,[],
Automotive,Glenn's Automotive,"823 E Houston St Sherman, TX 75090",,(903) 868-2068,"Automotive Repair, Professional Services",[],
Automotive,Automotive Professionals,"5012 Broadway St # J Galveston, TX 77551",,(409) 762-3541,"Automotive Repair, Transmission Manufacturers",[],
Automotive,Nolasco Automotive,"117 Snake Rd Pipe Creek, TX 78063",,(210) 432-2459,Automotive Repair,[],
Automotive,Solutions Automotive,"1513 S Tennessee St Ste 106 McKinney, TX 75069",,(214) 491-1826,"Automotive Repair, Shop Online",[],"Business Hours: Mon-Fri 8am-6pm, Sat 8am-5pm"
Automotive,Xtreme Automotive,"1509 Bruce Way Seagoville, TX 75159",,(214) 929-4379,"Auto Parts & Accessories, Car Stereos, Automotive Repair",[],
Automotive,Advanced Automotive,"107 E 12th St Odessa, TX 79761",,(432) 580-0879,Automotive Repair,[],
Automotive,Bigham Automotive,"802 El Campo Dr Rio Vista, TX 76093",,(817) 373-3189,Automotive Repair,[],
Automotive,Ross Automotive,"1253 Austin Hwy San Antonio, TX 78209",,(210) 822-2931,Automotive Repair,[],
