business name,address,external link,phone number,industry,additional_info,emails,business hours
Rumex Construction Corp,"4670 N Bendel Ave Fresno, CA 93722",,(559) 271-3300,Construction,"Industry-Specific Consultants, Petroleum Product Manufacturers, Construction Management, Elevator Repair, General Contractors, Petroleum Equipment Manufacturers, Construction Consultants, Government Contractors",[],
Valley Steel Construction,"PO Box 1446 Bakersfield, CA 93302",,(661) 327-8697,Construction,"Computer & Internet Services, Metal Buildings, Industrial Designers, Construction Consultants, Construction Companies, Wholesale Steel Processing Equipment, Wholesale Metal Specialties, General Contractors, Other Nonresidential Construction, Construction Management, Structural Steel Erection",[],Business Hours: Mon - Fri 8:00 am - 5:00 pm
Timco Construction Inc.,"8561 Younger Creek Dr Ste 100 Sacramento, CA 95828",,(916) 383-1558,Construction,"Construction Companies, Construction Consultants",[],Business Hours: Mon-Fri 7:30am-4pm
Level 10 Construction,"1188 Bordeaux Dr Sunnyvale, CA 94089",,(408) 400-0438,Construction,"Construction Companies, Construction Consultants",[],
Forss Construction Co,"1202 Buena Vista San Clemente, CA 92672",,(949) 275-0257,Construction,"General Contractors, Ceramic Tile Contractors, Gazebo Builders, Framing Contractors, Home Repair & Service, Rain Gutters, Power Washing, Other Nonresidential Construction, Door Hanging, Log Home Manufacturers, Construction Management, Home Remodeling Contractors, Disability Remodeling, Construction & Remodeling, Timber Frame Homes, Patio & Deck Cleaning & Restoration, Bathroom Remodeling, Garage Builders, Stair Builders, Real Estate Developers, Sun Rooms, Earthquake Services, Build Pergolas, Carport Construction, Deck Builders, Fountain Installation, Kitchen Remodeling, Residential Construction, Home Builders, Handyman",[],
Legendary Construction Inc,"1855 Diesel Dr Ste 4 Sacramento, CA 95838",,(916) 568-7900,Construction,"General Contractors, Construction Management, Construction Consultants",[],
Vonnegut Thoreau Construction,"3150 18th St Ste 258 San Francisco, CA 94110",,(415) 795-3603,Construction,"Construction Consultants, Construction Companies",[],Business Hours: Sun-Fri 6am-7pm
Luchetti Construction Inc,"400 Murchison Dr Millbrae, CA 94030",,(650) 697-7496,Construction,"Construction Companies, Construction Consultants, General Contractors",[],
Tom Clark Construction,"29575 Pacific Coast Hwy Malibu, CA 90265",,(424) 644-0277,Construction,"Florists, Construction Consultants, Construction Companies",[],
Myall Construction Inc,"22856 Leonora Dr Woodland Hills, CA 91367",,(818) 223-3228,Construction,"Construction Consultants, Other Nonresidential Construction, Construction & Remodeling, Home Remodeling Contractors, Construction Management, Business Management Consultants",[],
